"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/macos/SocialSquareDesktop-iOS/Images.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 15, 0, 1, 16
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/macos/SocialSquareDesktop-macOS/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 10, 0, 0, 10
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/navigation/StackNavigation.js", "JavaScript", 16, 0, 0, 0, 16
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/navigation/Start_Stack.js", "JavaScript", 2, 0, 0, 0, 2
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/screens/CategoryViewPage.js", "JavaScript", 977, 0, 41, 51, 1069
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/screens/ProfilePages.js", "JavaScript", 2642, 0, 87, 118, 2847
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/screens/ProfileScreen.js", "JavaScript", -5, 0, 0, -1, -6
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/screens/SelectCategorySearchScreen.js", "JavaScript", 217, 0, 8, 21, 246
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/screens/Signup.js", "JavaScript", 222, 0, 7, 31, 260
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/screens/ThreadViewPage.js", "JavaScript", 1033, 0, 50, 56, 1139
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/screens/ViewImagePostPage.js", "JavaScript", 529, 0, 26, 44, 599
"/Users/sebastianwebster/GitHub/SocialSquare-Desktop/screens/ViewPollPostPage.js", "JavaScript", 1248, 0, 46, 84, 1378
"Total", "-", 6881, 25, 265, 405, 7576